[INFO    :   django.utils.autoreload] - 2024-02-03 15:38:24,527 : run_with_reloader @ 0668: Watching for file changes with StatReloader
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,337 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,338 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,338 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1706875376.1781344
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,339 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1706875377.366045
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,341 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1706875377.745642
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,341 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,342 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1706875377.7395465
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,342 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_subprocess.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,343 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1706875376.8625898
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,344 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\email\errors.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,345 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1706875350.6491015
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,346 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1701976866.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,346 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1706875376.3164573
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,347 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1706875369.5942354
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,348 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1706875376.5171585
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,349 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1706875376.6906774
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,350 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1706875377.4878874
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,352 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\DLLs\_bz2.pyd first seen with mtime 1701976866.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,353 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1706875377.6512845
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,354 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1706875346.0394516
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,355 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1706875344.3837094
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,356 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,356 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1706875376.1828053
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,357 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1706875350.6460998
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,358 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1706875350.6789708
